NAME,median_household_income,median_property_value,population_below_poverty,total_population,poverty_universe,per_capita_income,median_gross_rent,unemployed,labor_force,bachelors_degree,education_universe,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_bachelors
Census Tract 633.02; Cook County; Illinois,98219,491400,230,4358,4358,88418,1766,154,3430,1563,3535,17,031,063302,17031063302,0.05277650298301973,0.044897959183673466,0.44214992927864216
Census Tract 633.03; Cook County; Illinois,107639,317900,126,1315,1295,107189,2401,44,739,441,1233,17,031,063303,17031063303,0.0972972972972973,0.05953991880920163,0.35766423357664234
Census Tract 634; Cook County; Illinois,86979,640600,196,2244,2244,86189,1644,53,1713,848,1515,17,031,063400,17031063400,0.0873440285204991,0.030939871570344425,0.5597359735973597
Census Tract 701.01; Cook County; Illinois,83614,490100,485,4003,4003,100805,1622,10,2455,1375,3379,17,031,070101,17031070101,0.12115913065201099,0.004073319755600814,0.4069251257768571
Census Tract 701.02; Cook County; Illinois,110577,744300,126,2960,2880,152519,1497,17,2457,1151,2455,17,031,070102,17031070102,0.04375,0.006919006919006919,0.4688391038696538
Census Tract 701.03; Cook County; Illinois,73581,-666666666,138,1489,1489,85603,1663,23,1310,501,1100,17,031,070103,17031070103,0.09267965077233042,0.017557251908396947,0.45545454545454545
Census Tract 702; Cook County; Illinois,109000,704300,452,4035,3900,86512,1927,188,3055,1555,2958,17,031,070200,17031070200,0.1158974358974359,0.06153846153846154,0.5256930358350237
Census Tract 703; Cook County; Illinois,156898,633900,419,3711,3566,104561,2696,89,2832,1168,2176,17,031,070300,17031070300,0.11749859786876052,0.031426553672316386,0.5367647058823529
Census Tract 704; Cook County; Illinois,192955,809500,525,3433,3433,132225,2136,30,2231,798,2160,17,031,070400,17031070400,0.1529274686862802,0.01344688480502017,0.36944444444444446
Census Tract 705; Cook County; Illinois,207076,840600,147,3238,3026,132950,2013,63,1989,1041,2373,17,031,070500,17031070500,0.04857898215465962,0.03167420814479638,0.438685208596713
Census Tract 706; Cook County; Illinois,249531,838100,218,3477,3477,123609,3433,65,2140,1194,2302,17,031,070600,17031070600,0.0626977279263733,0.030373831775700934,0.5186794092093832
Census Tract 707; Cook County; Illinois,143955,631400,336,3787,3787,102082,2117,37,2391,1023,2770,17,031,070700,17031070700,0.08872458410351201,0.01547469677959013,0.36931407942238265
Census Tract 710; Cook County; Illinois,179438,1010200,180,4159,2373,84668,2026,336,2199,798,1632,17,031,071000,17031071000,0.07585335018963338,0.15279672578444747,0.4889705882352941
Census Tract 711; Cook County; Illinois,204609,1556900,308,2979,2525,116939,2817,73,1937,704,1425,17,031,071100,17031071100,0.12198019801980198,0.03768714506969541,0.49403508771929827
Census Tract 712; Cook County; Illinois,131383,952300,314,2775,2775,95709,2336,164,1819,956,2083,17,031,071200,17031071200,0.11315315315315315,0.09015942825728422,0.4589534325492079
Census Tract 713; Cook County; Illinois,129486,494100,415,4123,4123,113759,2051,126,2906,1244,3203,17,031,071300,17031071300,0.10065486296386127,0.043358568479008944,0.3883858882297846
Census Tract 714; Cook County; Illinois,113581,491700,740,4448,4448,125834,1862,202,3085,1723,3415,17,031,071400,17031071400,0.16636690647482014,0.06547811993517018,0.5045387994143484
Census Tract 715; Cook County; Illinois,119024,401600,57,5482,5482,108293,2146,188,4477,2799,4999,17,031,071500,17031071500,0.010397665085735133,0.04199240562876926,0.5599119823964793
Census Tract 716; Cook County; Illinois,204375,1140400,58,1783,1783,149795,2742,5,1004,548,1163,17,031,071600,17031071600,0.03252944475602917,0.0049800796812749,0.471195184866724
Census Tract 717; Cook County; Illinois,202500,948100,133,1656,1655,116909,2974,32,916,448,1192,17,031,071700,17031071700,0.08036253776435046,0.034934497816593885,0.37583892617449666
Census Tract 718; Cook County; Illinois,241228,903900,95,2860,2860,139027,3131,65,1869,1024,2131,17,031,071800,17031071800,0.033216783216783216,0.034777956126270736,0.4805255748474894
Census Tract 801; Cook County; Illinois,105000,575900,695,6387,6387,128919,2175,228,3914,2549,5703,17,031,080100,17031080100,0.10881478002191952,0.05825242718446602,0.4469577415395406
Census Tract 802.01; Cook County; Illinois,120409,256300,117,3446,3446,133687,2064,89,2498,1426,3033,17,031,080201,17031080201,0.033952408589669185,0.03562850280224179,0.4701615562149687
Census Tract 802.02; Cook County; Illinois,106071,360800,390,3987,3987,157172,1930,16,3094,1985,3616,17,031,080202,17031080202,0.09781790820165538,0.005171299288946348,0.5489491150442478
Census Tract 803; Cook County; Illinois,151830,557200,517,6101,6101,107707,2588,156,4829,2256,4535,17,031,080300,17031080300,0.08474020652352074,0.03230482501553117,0.49746416758544654
Census Tract 804; Cook County; Illinois,68270,700400,1508,5415,5383,80630,673,304,3359,990,3297,17,031,080400,17031080400,0.28014118521270664,0.09050312593033641,0.3002729754322111
Census Tract 810; Cook County; Illinois,79465,741300,998,8264,6962,85239,1791,239,5781,2866,6504,17,031,081000,17031081000,0.14334961218040793,0.04134232831690019,0.4406519065190652
Census Tract 811; Cook County; Illinois,79561,398000,658,3984,3984,82307,1933,14,3109,1781,3032,17,031,081100,17031081100,0.16516064257028112,0.004503055644901898,0.587401055408971
Census Tract 812.01; Cook County; Illinois,122659,697600,302,4442,4332,112597,2448,100,3062,1599,3793,17,031,081201,17031081201,0.06971375807940905,0.032658393207054215,0.4215660427102557
Census Tract 812.02; Cook County; Illinois,154569,801100,203,3501,3501,176824,2726,195,2086,1400,3073,17,031,081202,17031081202,0.057983433304770064,0.0934803451581975,0.45558086560364464
Census Tract 813; Cook County; Illinois,108625,481800,434,5704,5704,117457,1858,21,3471,1620,4739,17,031,081300,17031081300,0.07608695652173914,0.006050129645635264,0.341844270943237
Census Tract 814.01; Cook County; Illinois,83292,456100,271,2503,2457,88843,2054,29,1548,663,1996,17,031,081401,17031081401,0.1102971102971103,0.018733850129198967,0.33216432865731466
Census Tract 814.02; Cook County; Illinois,170333,636300,140,6687,6687,145514,2966,108,4530,1586,5315,17,031,081402,17031081402,0.020936144758486618,0.02384105960264901,0.29840075258701787
Census Tract 814.03; Cook County; Illinois,110327,854700,884,10291,10291,113931,2472,247,8002,3007,8860,17,031,081403,17031081403,0.08590030123408804,0.030867283179205198,0.3393905191873589
Census Tract 815; Cook County; Illinois,134320,674300,569,5237,5206,152787,2495,138,4214,1734,4314,17,031,081500,17031081500,0.10929696504033808,0.03274798291409587,0.4019471488178025
Census Tract 816; Cook County; Illinois,145500,416700,175,4553,4553,121613,2742,144,3712,1972,3850,17,031,081600,17031081600,0.038436195914781465,0.03879310344827586,0.5122077922077922
Census Tract 817; Cook County; Illinois,142821,477600,391,5161,5161,140960,2497,119,4429,2299,4429,17,031,081700,17031081700,0.0757605115287735,0.026868367577331225,0.5190787988259201
Census Tract 818; Cook County; Illinois,147354,539800,1076,13521,13521,133566,2736,258,11299,5546,11788,17,031,081800,17031081800,0.0795799127283485,0.022833879104345516,0.47047845266372584
Census Tract 819; Cook County; Illinois,225694,486900,117,1326,1298,147257,3355,19,990,431,1074,17,031,081900,17031081900,0.0901386748844376,0.01919191919191919,0.40130353817504655
Census Tract 901; Cook County; Illinois,140194,445600,411,3567,3567,70099,1382,99,2019,676,2638,17,031,090100,17031090100,0.1152228763666947,0.04903417533432392,0.2562547384382108
Census Tract 902; Cook County; Illinois,127384,461100,395,6618,6618,65532,1543,88,3815,1782,4619,17,031,090200,17031090200,0.05968570565125415,0.023066841415465267,0.38579779172981166
Census Tract 903; Cook County; Illinois,116438,502400,131,1373,1349,64116,1313,35,756,498,1039,17,031,090300,17031090300,0.09710896960711639,0.046296296296296294,0.4793070259865255
Census Tract 1001; Cook County; Illinois,114536,464000,548,5850,5850,48385,1486,100,3371,1142,4097,17,031,100100,17031100100,0.09367521367521367,0.029664787896766538,0.2787405418598975
Census Tract 1002; Cook County; Illinois,94167,413900,275,7742,7553,45673,1662,208,4062,1512,5092,17,031,100200,17031100200,0.036409373758771346,0.05120630231413097,0.2969363707776905
Census Tract 1003; Cook County; Illinois,95441,436000,518,6495,6266,50460,2115,14,2727,1342,4734,17,031,100300,17031100300,0.08266836897542292,0.005133846718005134,0.2834811998310097
Census Tract 1004; Cook County; Illinois,142123,426700,72,3350,3350,59883,-666666666,78,1805,661,2376,17,031,100400,17031100400,0.021492537313432834,0.043213296398891966,0.2781986531986532
Census Tract 1005; Cook County; Illinois,128688,360400,67,5952,5952,68694,1577,134,3259,1306,4562,17,031,100500,17031100500,0.011256720430107527,0.04111690702669531,0.2862779482683034
Census Tract 1006; Cook County; Illinois,78689,360800,383,4806,4806,41214,1225,118,2455,838,3196,17,031,100600,17031100600,0.07969205160216396,0.04806517311608961,0.26220275344180227
Census Tract 1007; Cook County; Illinois,134767,405600,351,5335,5335,48294,-666666666,246,2885,936,3776,17,031,100700,17031100700,0.06579194001874414,0.08526863084922011,0.2478813559322034
Census Tract 1101; Cook County; Illinois,97743,428200,389,5401,5353,49168,1457,109,3359,1179,4329,17,031,110100,17031110100,0.0726695311040538,0.03245013396844299,0.27234927234927236
Census Tract 1102; Cook County; Illinois,76563,415600,240,2871,2856,43226,1187,254,1780,463,2328,17,031,110200,17031110200,0.08403361344537816,0.14269662921348314,0.19888316151202748
