Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
613034,3100111,100858562,PERMIT - EASY PERMIT PROCESS,2020-01-15T00:00:00.000,2020-01-15T00:00:00.000,6501.0,HERMITAGE AVE,,"REPLACEWITH NEW WATER LINES(GAS,DRAINS,WATER)FOR 2 APTS ONLY.DWV AND WATER REPAIR AND REPLACE FOR UNITS 1 AND 2 ONLY",0.0,450.0,671200.0,15.0,1165827.1336391435,1861557.137215248,2020,1,15,0,1
613042,3100130,100858572,PERMIT - EASY PERMIT PROCESS,2020-01-15T00:00:00.000,2020-01-15T00:00:00.000,7627.0,ST LAWRENCE AVE,,ALTERNATIVE CODE APPROVAL FOR 100853402: USE PVC FOR UNDERGROUND DRAIN PIPES & FITTINGS,0.0,75.0,691400.0,6.0,1181598.6847936588,1854450.044608194,2020,1,15,0,1
613179,3100408,100858733,PERMIT - EASY PERMIT PROCESS,2020-01-16T00:00:00.000,2020-01-16T00:00:00.000,807.0,FRANCISCO AVE,,REVISION TO PERMIT#100837964 ALT. CODE APPROVAL:DRAINAGE AND VENT MATERIALS WILL BE PVC.TO BE USED BELOW AND ABOVE GRADE.,0.0,75.0,242700.0,26.0,1156944.2868256995,1905303.948457052,2020,1,16,0,1
613183,3100419,100858738,PERMIT - EASY PERMIT PROCESS,2020-01-16T00:00:00.000,2020-01-16T00:00:00.000,715.0,48TH ST,,REVISION TO PERMIT#100804558 ALT. CODE APPROVAL:THE ALTERNATIVE  DRAINAGE AND VENT MATERIAL WILL BE PVC. THIS IS FOR UNDERGROUND AND ABOVE GROUND FOR INTERIOR PLUMBING ONLY.,0.0,75.0,843600.0,4.0,1181928.766650139,1873306.4610952183,2020,1,16,0,1
613191,3100437,100858746,PERMIT - EASY PERMIT PROCESS,2020-01-16T00:00:00.000,2020-01-16T00:00:00.000,719.0,48TH ST,,"REVISION TO PERMIT#100804560 ALT. CODE APPROVAL:THE ALTERNATIVE  DRAINAGE AND VENT MATERIAL WILL BE PVC. THIS IS FOR BELOW GRADE, INTERIOR PLUMBING AND DOWNSPOUT.",0.0,75.0,843600.0,4.0,1181977.648806334,1873307.872925654,2020,1,16,0,1
613196,3100448,100858751,PERMIT - EASY PERMIT PROCESS,2020-01-16T00:00:00.000,2020-01-16T00:00:00.000,723.0,48TH ST,,REVISION TO PERMIT#100804561 ALT. CODE APPROVAL:THE ALTERNATIVE  DRAINAGE AND VENT MATERIAL WILL BE PVC. THIS IS TO BE USED BELOW GRADE AND FOR INTERIOR PLUMBING .,0.0,75.0,843600.0,4.0,1182026.4435717158,1873309.1727676431,2020,1,16,0,1
613217,3100513,100858777,PERMIT - RENOVATION/ALTERATION,2020-02-10T00:00:00.000,2020-02-20T00:00:00.000,1200.0,INDIANA AVE,,DIRECT DEVELOPER SERVICES: REVISION TO PERMIT #100663785 TO INCLUDE ALTERATIONS TO LEVEL 48 TO CONVERT THE FITNESS CENTER PRIVATE TRAINING INTO MEETING ROOMS.  NO OTHER CHANGES,0.0,3350.0,330100.0,3.0,1177810.110035906,1895070.9636725711,2020,2,20,0,1
613310,3100727,100858892,PERMIT - EASY PERMIT PROCESS,2020-01-17T00:00:00.000,2020-01-17T00:00:00.000,4131.0,FRANCISCO AVE,,REVISION TO PERMIT#100850077 ALT. CODE APPROVAL:USE SCHEDULE 40 PVC DRAINAGE AND VENT PIPE AS ALTERNATIVE MATERIAL BELOW GRADE.,0.0,75.0,160602.0,33.0,1156345.7732885603,1927450.5106050365,2020,1,17,0,1
613864,3101768,B100859571,PERMIT – EXPRESS PERMIT PROGRAM,2020-01-23T00:00:00.000,2020-01-23T00:00:00.000,6053.0,STATE ST,Electrical Work,INSTALL FOUR FLOOD LIGHTS,0.0,75.0,400800.0,20.0,1177358.8601437684,1864666.584167407,2020,1,23,0,1
613967,3102000,100859687,PERMIT - EASY PERMIT PROCESS,2020-01-24T00:00:00.000,2020-01-24T00:00:00.000,437.0,MARQUETTE RD,,"REVISION TO PERMIT#100859687.ALTERNATIVE CODE PVC PLUMBING FOR DRAIN,VENT,ABOVE & BELOW GRADE.",0.0,75.0,681200.0,6.0,1174379.9767254328,1860460.3573668315,2020,1,24,0,1
