Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood,is_green
310990,2478903,B100494608,PERMIT – EXPRESS PERMIT PROGRAM,2013-06-09T00:00:00.000,2013-06-09T00:00:00.000,10.0,RIVERSIDE PLZ,Electrical Work,SECURITY SYSTEM WORK (PLANTE MORAN) 03-4621,0.0,50.0,281900.0,42.0,1173359.0747978694,1900233.5446894723,2013,06,09,0,0,1
311248,2479486,100494946,PERMIT - NEW CONSTRUCTION,2013-08-19T00:00:00.000,2013-11-08T00:00:00.000,15.0,WOOD ST,,"PD 522 - 60,850 SF BASKETBALL PRACTICE FACILITY AND DETACHED 4,350 SF STORAGE BUILDING AND ADJACENT PARKING.  **PLEASE NOTE PREVIOUS FOUNDATION ONLY APPLICATION FOR THIS PROJECT, #100489519*** GREEN ROOF PROJECT ###SF OF VEGETATED AREA",0.0,21739.0,838100.0,27.0,1164457.1181410032,1899867.2209702677,2013,11,08,0,0,1
319006,2496734,100504493,PERMIT - RENOVATION/ALTERATION,2013-08-15T00:00:00.000,2013-08-15T00:00:00.000,12.0,MICHIGAN AVE,,RENOVATION OF EXISTING HOTEL AND CLUB TO A 241 ROOM HOTEL AND CLUB.  EXISTING BUILDING IS COMPRISED OF A 19 STORY ANNEX AND THE ORIGINAL 12 STORY BUILDING. GREEN ROOF 7340 SF VEGETATED AREA,0.0,68225.0,320400.0,42.0,1177275.452891325,1900316.2227389032,2013,08,15,0,0,1
320169,2499393,100505950,PERMIT - NEW CONSTRUCTION,2013-08-26T00:00:00.000,2013-08-26T00:00:00.000,845.0,STATE ST,,NEW CONSTRUCTION; 35 STORIES WITH GREEN ROOF- 845 NORTH STATE STREET-FOUNDATION AND SUPERSTRUCTURE,0.0,152573.92,81201.0,42.0,1176250.9641189775,1906205.3683459244,2013,08,26,0,0,1
320378,2499853,100506194,PERMIT - EASY PERMIT PROCESS,2013-08-27T00:00:00.000,2013-08-27T00:00:00.000,2625.0,ORCHARD ST,,ERECT AN OPEN TRELLIS AROUND EXISTING TREE PLANTER BOXES PER PLANS,200.0,200.0,70200.0,43.0,1171189.1337202354,1917774.7564036204,2013,08,27,0,0,1
320874,2500807,100506760,PERMIT - RENOVATION/ALTERATION,2014-03-07T00:00:00.000,2014-06-25T00:00:00.000,422.0,DEMING PL,,NEW FIRE-RATED WOOD ROOF DECK WITH VEGETATED GREEN ROOF AREA (1390 SF) PER ARCHITECTURAL PLANS. NO PLUMBING OR ELECTRICAL WORK,0.0,408.95,70101.0,43.0,1172875.3728354597,1917670.5164540815,2014,06,25,0,0,1
321521,2502009,B100507543,PERMIT – EXPRESS PERMIT PROGRAM,2013-09-06T00:00:00.000,2013-09-06T00:00:00.000,600.0,KINZIE ST,Monthly Maintenance Permit,REQUIRED PM ON ELECTRICAL EQUIPMENT AT THE CHOCOLATE MANUFACTURING PLANT,0.0,200.0,243600.0,27.0,1172231.085536217,1902955.411466567,2013,09,06,0,0,1
324576,2507975,100511214,PERMIT - RENOVATION/ALTERATION,2013-12-27T00:00:00.000,2014-02-24T00:00:00.000,1801.0,FOSTER AVE,,INTERIOR RENOVATION OF EXISTING 2 STORY 3B CONSTRUCTION MANUFACTURING PLANT INTO A NEW MICRO BREWERY PER PLANS.,0.0,5281.76,40402.0,47.0,1163324.7246909891,1934527.444176832,2014,02,24,0,0,1
326133,2511034,100513032,PERMIT - EASY PERMIT PROCESS,2013-10-11T00:00:00.000,2013-10-11T00:00:00.000,11601.0,TOUHY AVE,,"PROVIDE FLOOR DRAIN AND VALVED WATER LINE FOR AIRPORT PLANT DISPLAY (CDA GREEN EDUCATION KIOSK) IN TERMINAL 3, MAIN CONCOURSE",0.0,300.0,,41.0,1098098.5774643964,1945979.209781826,2013,10,11,0,1,1
326632,2512037,100513610,PERMIT - EASY PERMIT PROCESS,2013-10-16T00:00:00.000,2013-10-16T00:00:00.000,832.0,OAKDALE AVE,,REPLACE TIMBER BY PLANTER. REPLACE (2) STEPS AT FRONT ELEVATION- ALL WORK SAME AS EXISTING; NO PUBLIC WAY INVOLVEMENT; SUBJECT TO FIELD INSPECTIONS,0.0,325.0,63000.0,44.0,1170057.8077354303,1919841.084829677,2013,10,16,0,0,1
