Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
121174,1947060,100250163,PERMIT - RENOVATION/ALTERATION,2008-09-11T00:00:00.000,2008-09-11T00:00:00.000,555.0,MONROE ST,,"GREEN PERMIT APPLICATION     INSTALLATION OF WIND TURBINES AND SOLAR PANELS ONLY, ON GREEN ROOF OF 1-SOTRY BUILDING AREA",0.0,2075.0,2819.0,2.0,1172558.891231282,1899783.8065239112,2008,9,11,1,0
123517,1952619,B100253326,PERMIT – EXPRESS PERMIT PROGRAM,2008-08-18T00:00:00.000,2008-08-18T00:00:00.000,5101.0,KEELER AVE,Electrical Work,INSTALL THREE 20A CIRCUITS TO CONNECT NEW SOLAR PV PANELS TO EXISTING ELECTRICAL SYSTEM,0.0,100.0,570500.0,23.0,1149267.7023659786,1870438.6041919573,2008,8,18,1,0
124464,1954797,B100254655,PERMIT – EXPRESS PERMIT PROGRAM,2008-08-25T00:00:00.000,2008-09-01T00:00:00.000,2021.0,DIVISION ST,Electrical Work,"INSTALLATION OF SOLAR ARRAY ON ROOFTOP, AND UPGRADE OF 3RD FLOOR MAIN SERVICE PANEL AT BASEMENT LEVEL FOR THE PHOTOVOLTAIC SYSTEM TIE-IN.",0.0,150.0,242300.0,1.0,1162611.9542810516,1907948.0747198092,2008,9,1,1,0
131297,1971255,100263591,PERMIT - RENOVATION/ALTERATION,2008-10-23T00:00:00.000,2008-10-23T00:00:00.000,5515.0,SPAULDING AVE,,"DEMOLISH REAR ONE STORY ADDITION. ADD NEW REAR TWO STORY ADDITION WITH KITCHEN AND DINING ROOM ON GROUND FLOOR AND NEW MASTER SUITE ON SECOND FLOOR. WORK INCLUDES NEW AIR CONDITIONING, SOLAR DOMESTIC WATER HEATING, AND NEW WATER SERVICE, PLUMBING AND ELECTRICAL WORK. ALSO A NEW DECK AND 6'-0"" TALL WOOD FENCE IN REAR YARD AS PER PLANS",0.0,990.43,1305.0,40.0,1153425.983956369,1936540.320763639,2008,10,23,1,0
133666,1979879,B100266754,PERMIT – EXPRESS PERMIT PROGRAM,2008-11-11T00:00:00.000,2008-11-12T00:00:00.000,59.0,NORTH BLVD,Electrical Work,"INSTALL TWO 120V, 20 CIRCUITS AS REQUIRED FOR CONNECTION TO SOLAR PV PANELS IN GRID INTERTIED SYSTEM",0.0,150.0,80200.0,2.0,1175348.5486568187,1910971.4176814295,2008,11,12,1,0
135901,1999317,100269910,PERMIT - RENOVATION/ALTERATION,2008-12-04T00:00:00.000,2009-05-08T00:00:00.000,1101.0,DAMEN AVE,,EXTERIOR ALTERATIONS - ADD SOLAR THERMAL PANELS ONTO A FLAT ROOF OF AN EXISTING 3 STORY + PENTHOUSE MASONRY BUILDING.  SOLAR PANELS ARE SERVING ONE UNIT ONLY OF 5-UNIT BUILDING.  REMOVE AND REPLACE EXISTING SIDING ON PENTHOUSE AS PER PLANS. PLBG. WORK ASSOCIATED WITH SOLAR PANELS AS PER PREVIOUSLY ISSUED PERMIT #100250649. CONDITIONAL PERMIT SUBJECT TO AUDIT AND FIELD INSPECTION.,0.0,375.0,2422.0,1.0,1162908.94093747,1907350.3769277728,2009,5,8,1,0
139032,2010451,100274792,PERMIT - RENOVATION/ALTERATION,2009-02-10T00:00:00.000,2009-03-06T00:00:00.000,1610.0,HONORE ST,,"INCREASE HEIGHT OF EXISTING GARAGE, NEW ROOF DECK,NEW STEEL WALKWAY/STAIR. AND SOLAR PANELS AS PER PLANS",300.0,400.0,2403.0,32.0,1163725.7057553085,1910816.6151749769,2009,3,6,1,0
140214,2014813,100276280,PERMIT - EASY PERMIT PROCESS,2009-01-29T00:00:00.000,2009-02-10T00:00:00.000,1140.0,FARWELL AVE,,INSTALL (5) NEW SOLAR PANELS AND A NEW 240 GAL SOLAR WATER HEATER TO A MULTI-FAMILY RESIDENCE.  (CONDITIONAL APPROVAL SUBJECT TO FIELD INSPECTION),0.0,625.0,104.0,49.0,1167256.8163716209,1945822.7615517213,2009,2,10,1,0
140807,2017293,100277138,PERMIT - EASY PERMIT PROCESS,2009-02-06T00:00:00.000,2009-02-06T00:00:00.000,4619.0,CLAREMONT AVE,,INSTALL SOLAR HEATING AND HOT WATER PACKAGE TO AN EXISTING SINGLE FAMILY HOME  (CONDITIONAL APPROVAL SUBJECT TO FIELD INSPECTION),0.0,625.0,406.0,47.0,1159905.892254212,1930687.313354381,2009,2,6,1,0
140889,2017605,B100277250,PERMIT – EXPRESS PERMIT PROGRAM,2009-02-07T00:00:00.000,2009-02-07T00:00:00.000,4720.0,VIRGINIA AVE,Electrical Work,INSTALL NEW SOLAR PANLS SYSTEM,0.0,100.0,40700.0,40.0,1156874.425947496,1931246.517440464,2009,2,7,1,0
