NAME,median_household_income,per_capita_income,population_below_poverty,poverty_universe,median_property_value,median_gross_rent,unemployed,labor_force,total_population,pop_white_alone,pop_black_alone,pop_aian_alone,pop_asian_alone,pop_nhpi_alone,pop_other_alone,pop_two_or_more_races,pop_hispanic_latino,education_universe,edu_high_school_diploma,edu_ged,edu_some_college_lt1yr,edu_some_college_gt1yr,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_white,pct_black,pct_asian,pct_hispanic,pct_bachelors_plus,pct_no_hs
Census Tract 101; Cook County; Illinois,74145,45573,545,4097,340700,1168,182,2923,4198,1692,1636,0,140,0,204,526,645,3169,617,103,0,450,354,739,519,80,113,17,031,010100,17031010100,0.13302416402245545,0.06226479644201163,0.4030490709861839,0.38970938542162936,0.03334921391138637,0.15364459266317293,0.45787314610287155,0.06121804985799939
Census Tract 307.03; Cook County; Illinois,74702,53780,642,3237,342700,1387,259,2191,3237,1735,305,0,355,0,263,579,638,2802,357,60,85,278,56,1065,591,54,59,17,031,030703,17031030703,0.19833178869323448,0.1182108626198083,0.5359901143033673,0.09422304603027494,0.10966944701884461,0.1970960766141489,0.6313347608850821,0.07030692362598145
Census Tract 307.06; Cook County; Illinois,52167,65190,242,2717,355400,1799,154,1639,2717,1511,518,0,439,0,59,190,99,2455,323,19,26,130,52,621,881,113,138,17,031,030706,17031030706,0.08906882591093117,0.09395973154362416,0.5561280824438719,0.19065145380934856,0.16157526683842474,0.03643724696356275,0.7140529531568228,0.06191446028513237
Census Tract 308; Cook County; Illinois,105585,77598,441,4456,512500,1657,193,3172,4610,3527,200,0,221,0,125,537,555,3682,340,10,81,248,38,1268,996,323,148,17,031,030800,17031030800,0.09896768402154399,0.06084489281210593,0.7650759219088937,0.04338394793926247,0.04793926247288503,0.12039045553145336,0.742802824551874,0.062466051059206995
Census Tract 309; Cook County; Illinois,87485,66294,152,2798,444300,1548,54,2100,2818,1948,119,79,95,0,52,525,558,2414,185,57,88,215,147,868,508,115,69,17,031,030900,17031030900,0.054324517512508934,0.025714285714285714,0.6912704045422285,0.042228530872959545,0.033711852377572744,0.1980127750177431,0.6462303231151616,0.06710853355426682
Census Tract 310; Cook County; Illinois,132147,82370,267,4060,350200,1726,161,3322,4108,2701,185,0,503,0,407,312,604,3456,238,58,65,165,102,1597,898,157,45,17,031,031000,17031031000,0.06576354679802955,0.048464780252859725,0.6574975657254138,0.045034079844206425,0.12244401168451802,0.14703018500486856,0.7803819444444444,0.03790509259259256
Census Tract 311; Cook County; Illinois,92717,67570,481,4931,367900,1444,101,4159,5018,3065,457,18,581,0,258,639,821,4396,374,74,42,407,502,1424,1302,93,135,17,031,031100,17031031100,0.09754613668627053,0.024284683818225534,0.6108011159824631,0.09107214029493822,0.11578318055001993,0.16361100039856516,0.6719745222929936,0.009781619654231077
Census Tract 312; Cook County; Illinois,25713,32825,1732,5032,338800,1033,139,2971,5298,1383,2417,13,425,0,515,545,978,4541,638,149,130,780,70,1454,353,104,155,17,031,031200,17031031200,0.3441971383147854,0.046785594076068665,0.2610419026047565,0.4562098905247263,0.08021895054737636,0.18459796149490373,0.4549658665492182,0.15591279453864793
Census Tract 313; Cook County; Illinois,68942,54096,1148,5747,172500,1247,150,3592,6136,3842,551,7,1065,32,124,515,600,5762,871,78,380,705,622,1408,1068,216,117,17,031,031300,17031031300,0.1997563946406821,0.04175946547884187,0.6261408083441982,0.08979791395045632,0.1735658409387223,0.09778357235984354,0.48750433877126,0.05154460256855253
Census Tract 314; Cook County; Illinois,93026,76423,196,4467,296300,1747,54,3624,4697,3504,329,0,408,0,69,387,393,4259,252,0,29,534,161,1819,938,240,197,17,031,031400,17031031400,0.04387732258786658,0.014900662251655629,0.7460080902703854,0.07004470938897168,0.08686395571641474,0.08367042793272302,0.7499413007748298,0.02089692416060107
Census Tract 315.01; Cook County; Illinois,52250,31244,2163,4716,382100,1087,127,2527,4792,1545,1962,0,690,0,245,350,512,3075,472,141,10,245,220,869,517,18,62,17,031,031501,17031031501,0.4586513994910941,0.050257222002374355,0.32241235392320533,0.40943238731218695,0.1439899833055092,0.10684474123539232,0.4767479674796748,0.1694308943089431
Census Tract 315.02; Cook County; Illinois,49684,38270,1382,4456,287900,1331,117,2627,4463,1856,1675,85,341,0,127,379,443,3262,397,118,122,432,249,931,405,119,45,17,031,031502,17031031502,0.3101436265709156,0.04453749524172059,0.41586376876540443,0.3753080887295541,0.07640600492941968,0.09926058704907013,0.4598405885959534,0.13611281422440225
Census Tract 317; Cook County; Illinois,79867,62755,306,5754,463300,1218,215,4811,5851,3743,839,0,299,0,253,717,757,4973,258,37,166,678,167,1931,1277,146,44,17,031,031700,17031031700,0.053180396246089674,0.04468925379339015,0.6397197060331568,0.1433942915740899,0.05110237566227995,0.12937959323192616,0.6832897647295395,0.054092097325557975
