NAME,median_household_income,per_capita_income,population_below_poverty,poverty_universe,median_property_value,median_gross_rent,unemployed,labor_force,total_population,pop_white_alone,pop_black_alone,pop_aian_alone,pop_asian_alone,pop_nhpi_alone,pop_other_alone,pop_two_or_more_races,pop_hispanic_latino,education_universe,edu_high_school_diploma,edu_ged,edu_some_college_lt1yr,edu_some_college_gt1yr,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_white,pct_black,pct_asian,pct_hispanic,pct_bachelors_plus,pct_no_hs
Census Tract 8019.02; Cook County; Illinois,203646,106893,19,3728,855400,-666666666,45,1858,3747,3345,0,0,134,0,83,185,483,2382,56,24,41,194,196,933,655,179,71,17,031,801902,17031801902,0.00509656652360515,0.024219590958019375,0.8927141713370697,0.0,0.03576194288764345,0.1289031224979984,0.7716204869857263,0.013853904282115859
Census Tract 8020.02; Cook County; Illinois,133152,72288,125,4399,573000,1622,52,2438,4720,3655,44,6,636,0,99,280,280,3415,353,34,156,378,171,1074,859,143,158,17,031,802002,17031802002,0.028415548988406456,0.02132895816242822,0.774364406779661,0.009322033898305085,0.13474576271186442,0.059322033898305086,0.6541727672035139,0.026061493411420167
Census Tract 8020.03; Cook County; Illinois,175288,64357,141,2376,600800,1413,50,1205,2376,1637,164,0,331,0,65,179,215,1667,220,16,128,96,69,567,319,62,70,17,031,802003,17031802003,0.059343434343434344,0.04149377593360996,0.688973063973064,0.06902356902356903,0.1393097643097643,0.09048821548821549,0.6106778644271146,0.07198560287942413
Census Tract 8020.04; Cook County; Illinois,47134,33961,1705,5895,220300,1411,271,3108,5982,2771,88,0,2387,0,364,372,581,4109,737,126,259,767,89,1398,306,21,92,17,031,802004,17031802004,0.28922815945716707,0.0871943371943372,0.4632230023403544,0.014710799063858242,0.3990304246071548,0.09712470745570044,0.4422000486736432,0.07641761985884643
Census Tract 8021; Cook County; Illinois,180739,89997,375,3663,700600,997,45,1556,3672,2858,50,0,315,0,20,429,157,2330,146,6,24,122,148,945,606,147,55,17,031,802100,17031802100,0.10237510237510238,0.02892030848329049,0.778322440087146,0.013616557734204794,0.0857843137254902,0.04275599128540305,0.7523605150214592,0.056223175965665284
Census Tract 8022; Cook County; Illinois,177813,96900,176,4839,655300,2349,72,2267,4853,4116,13,76,214,0,29,405,421,3422,131,0,131,150,193,1130,1227,311,127,17,031,802200,17031802200,0.036371151064269476,0.031760035288928096,0.8481351741191016,0.002678755409025345,0.04409643519472491,0.08675046363074387,0.8167738164815898,0.006428988895382792
Census Tract 8023; Cook County; Illinois,111071,94395,509,5525,768600,2252,73,2218,5606,3665,91,0,1031,0,116,703,404,4182,424,0,117,426,307,1609,781,364,136,17,031,802300,17031802300,0.09212669683257918,0.032912533814247066,0.6537638244737781,0.016232607920085622,0.18391009632536567,0.0720656439529076,0.6910569105691057,0.004304160688665681
Census Tract 8024.02; Cook County; Illinois,78942,49934,343,5539,394000,1398,113,2714,5739,3205,127,101,1084,0,1055,167,1530,4539,764,118,233,648,132,1291,579,92,117,17,031,802402,17031802402,0.06192453511464163,0.04163596168017686,0.5584596619620142,0.02212929081721554,0.18888308067607598,0.26659696811291167,0.45803040317250493,0.12447675699493277
Census Tract 8024.03; Cook County; Illinois,87525,55147,71,1517,244000,1951,72,858,1517,1252,6,6,173,0,21,59,62,1246,163,11,45,137,68,516,169,20,49,17,031,802403,17031802403,0.04680290046143705,0.08391608391608392,0.8253131179960448,0.003955174686882004,0.11404087013843112,0.04087013843111404,0.6051364365971108,0.054574638844301804
Census Tract 8024.04; Cook County; Illinois,81371,35509,1238,7697,192600,1921,215,4427,7892,3870,274,173,775,0,1838,962,2627,5540,1060,148,210,999,554,1258,382,136,13,17,031,802404,17031802404,0.16084188644926595,0.04856562005873052,0.4903699949315763,0.034718702483527625,0.09820070957932082,0.33286872782564625,0.32292418772563175,0.1407942238267148
Census Tract 8025.03; Cook County; Illinois,106076,43697,835,7232,274800,1834,157,4163,7232,4465,311,0,1208,0,904,344,1394,5026,1030,141,137,476,498,1854,585,42,16,17,031,802503,17031802503,0.11545907079646017,0.03771318760509248,0.6173949115044248,0.0430033185840708,0.1670353982300885,0.19275442477876106,0.496816553919618,0.049144448865897306
Census Tract 8025.04; Cook County; Illinois,100313,35400,775,6156,325600,2156,196,3254,6373,2706,22,28,1358,0,1280,979,1967,4479,1042,135,178,586,391,976,323,114,0,17,031,802504,17031802504,0.12589343729694608,0.06023355869698832,0.4246037972697317,0.003452063392436843,0.21308645849678332,0.3086458496783305,0.3154722036168788,0.16387586514847063
Census Tract 8025.05; Cook County; Illinois,79886,41453,711,6120,210300,1432,95,4079,6157,2724,107,102,897,0,1583,744,2421,4301,466,67,192,489,408,974,484,78,41,17,031,802505,17031802505,0.1161764705882353,0.02329002206423143,0.44242325808023386,0.01737859347084619,0.1456878349845704,0.3932109793730713,0.36665891653103927,0.25621948384096727
Census Tract 8025.06; Cook County; Illinois,83056,33403,240,2393,312700,1634,150,1454,2393,1097,115,51,186,0,464,480,1052,1620,281,33,95,237,121,316,57,12,17,17,031,802506,17031802506,0.10029251984956122,0.1031636863823934,0.4584203928123694,0.04805683242791475,0.07772670288340995,0.4396155453405767,0.24814814814814815,0.278395061728395
Census Tract 8026.05; Cook County; Illinois,119375,63627,246,6940,392200,1815,113,3924,7035,5013,573,15,1008,0,112,314,375,5708,411,209,283,637,565,2231,1078,87,54,17,031,802605,17031802605,0.03544668587896253,0.028797145769622834,0.7125799573560767,0.0814498933901919,0.14328358208955225,0.053304904051172705,0.6044148563419762,0.026804484933426798
Census Tract 8026.07; Cook County; Illinois,120750,47834,63,1421,452300,-666666666,41,676,1421,1159,0,0,108,0,0,154,194,1043,156,11,75,113,164,288,182,9,1,17,031,802607,17031802607,0.04433497536945813,0.060650887573964495,0.8156228008444757,0.0,0.07600281491907107,0.13652357494722026,0.46021093000958774,0.04218600191754551
Census Tract 8026.08; Cook County; Illinois,90778,55737,386,5687,318900,1564,33,2807,5687,4784,39,0,352,0,212,300,392,4305,750,81,184,476,321,1494,629,207,0,17,031,802608,17031802608,0.06787409882187445,0.011756323477021732,0.8412168102690346,0.006857745735888869,0.061895551257253385,0.06892913662739582,0.5412311265969802,0.037862950058072053
Census Tract 8026.09; Cook County; Illinois,68608,35513,720,6525,160700,1500,138,4485,6525,3318,40,15,834,0,1357,961,2247,5038,883,109,130,565,339,1247,388,71,45,17,031,802609,17031802609,0.1103448275862069,0.03076923076923077,0.5085057471264368,0.006130268199233717,0.127816091954023,0.34436781609195405,0.3475585549821358,0.25029773719730053
Census Tract 8026.10; Cook County; Illinois,143500,55731,43,1978,395700,1714,4,1097,1978,1230,23,0,622,0,43,60,72,1582,296,26,74,176,97,546,253,20,39,17,031,802610,17031802610,0.021739130434782608,0.0036463081130355514,0.621840242669363,0.011627906976744186,0.31445904954499493,0.03640040444893832,0.5423514538558787,0.03476611883691527
Census Tract 8027.01; Cook County; Illinois,160658,48653,418,6972,449500,1280,227,3647,6972,3478,143,0,1859,0,587,905,1722,4648,707,64,129,415,363,1528,638,82,70,17,031,802701,17031802701,0.05995410212277682,0.062242939402248426,0.49885255306942056,0.02051061388410786,0.2666379804934022,0.2469879518072289,0.4987091222030981,0.1402753872633391
Census Tract 8027.02; Cook County; Illinois,94656,45077,429,4273,453600,433,61,2063,4370,2430,58,10,1518,0,162,192,293,3419,644,51,282,504,240,978,475,70,0,17,031,802702,17031802702,0.10039784694593962,0.02956858943286476,0.5560640732265446,0.013272311212814645,0.3473684210526316,0.06704805491990846,0.4454518865165253,0.05118455688797896
Census Tract 8028.01; Cook County; Illinois,138750,64092,58,4712,431400,1449,94,2627,4712,3818,68,3,254,0,73,496,504,3222,300,21,135,149,196,1090,993,73,130,17,031,802801,17031802801,0.01230899830220713,0.03578226113437381,0.8102716468590832,0.014431239388794566,0.053904923599320885,0.10696095076400679,0.7094972067039106,0.04189944134078216
Census Tract 8028.02; Cook County; Illinois,118068,51102,78,6351,364600,2217,92,3502,6375,5034,30,0,706,0,0,605,652,4111,513,143,163,464,340,1668,535,41,38,17,031,802802,17031802802,0.01228153046764289,0.026270702455739578,0.7896470588235294,0.004705882352941176,0.11074509803921569,0.10227450980392157,0.5550960836779373,0.05010946241790315
Census Tract 8029; Cook County; Illinois,179773,84236,226,5993,524200,2862,55,2855,5993,5362,17,0,225,0,24,365,252,3968,450,0,279,253,149,1380,1022,197,98,17,031,802900,17031802900,0.037710662439512765,0.01926444833625219,0.8947104955781745,0.002836642749874854,0.03754380110128483,0.04204905723343901,0.6796875,0.035282258064516125
Census Tract 8030.05; Cook County; Illinois,133083,58321,87,2860,367900,1439,62,1758,2860,2111,10,0,173,0,289,277,488,1932,152,0,96,154,169,845,405,21,18,17,031,803005,17031803005,0.03041958041958042,0.03526734926052332,0.7381118881118881,0.0034965034965034965,0.06048951048951049,0.17062937062937064,0.667184265010352,0.037267080745341574
Census Tract 8030.07; Cook County; Illinois,91553,47692,772,5092,384300,1996,44,2616,5092,4225,22,6,396,0,202,241,334,3717,523,28,138,572,334,1230,466,209,25,17,031,803007,17031803007,0.1516103692065986,0.016819571865443424,0.829732914375491,0.00432050274941084,0.07776904948939513,0.06559308719560095,0.5192359429647565,0.051654560129136384
Census Tract 8030.08; Cook County; Illinois,173309,67327,174,4720,473900,1560,99,2364,4720,3290,78,0,911,0,283,158,382,3404,265,19,68,391,90,1264,853,158,126,17,031,803008,17031803008,0.03686440677966102,0.04187817258883249,0.6970338983050848,0.01652542372881356,0.19300847457627118,0.08093220338983051,0.7053466509988249,0.0499412455934195
Census Tract 8030.10; Cook County; Illinois,119125,56802,133,4351,380600,1700,109,2519,4351,3005,133,6,563,0,221,423,591,3059,213,14,249,414,334,970,446,77,106,17,031,803010,17031803010,0.03056768558951965,0.04327113934100834,0.690645828545162,0.03056768558951965,0.12939554125488392,0.1358308434842565,0.5227198430859759,0.07714939522719844
Census Tract 8030.12; Cook County; Illinois,85865,55501,194,2135,295200,1763,50,1363,2135,1435,73,25,261,0,277,64,372,1634,225,10,108,170,109,595,294,27,10,17,031,803012,17031803012,0.09086651053864168,0.036683785766691124,0.6721311475409836,0.034192037470725994,0.12224824355971897,0.17423887587822015,0.5667074663402693,0.052631578947368474
Census Tract 8030.13; Cook County; Illinois,104564,54161,285,5690,288200,1536,105,3278,5690,4647,93,0,406,0,107,437,627,4138,529,43,255,611,366,1185,849,206,66,17,031,803013,17031803013,0.05008787346221441,0.032031726662599146,0.8166959578207381,0.016344463971880493,0.07135325131810194,0.1101933216168717,0.5572740454325761,0.006766553890768523
Census Tract 8030.14; Cook County; Illinois,83030,39435,158,3543,308500,1367,65,2209,3543,2737,60,0,326,0,180,240,682,2604,512,105,183,262,402,650,235,72,17,17,031,803014,17031803014,0.044594976009031895,0.029425079221367133,0.772509173017217,0.01693480101608806,0.09201241885407846,0.19249223821620096,0.3740399385560676,0.06374807987711217
Census Tract 8030.15; Cook County; Illinois,108030,70262,288,4520,386500,1382,75,2448,4520,3538,71,0,265,0,124,522,524,3663,627,137,135,615,179,1087,739,54,0,17,031,803015,17031803015,0.06371681415929203,0.030637254901960783,0.7827433628318584,0.015707964601769913,0.0586283185840708,0.11592920353982301,0.5132405132405132,0.02457002457002455
Census Tract 8030.16; Cook County; Illinois,133150,56944,118,2525,440500,1932,44,1468,2537,1138,156,22,880,0,113,228,290,1754,275,38,104,192,50,541,451,39,27,17,031,803016,17031803016,0.04673267326732673,0.02997275204359673,0.44856129286558927,0.06148994875837603,0.346866377611352,0.11430823807646827,0.6031927023945268,0.02109464082098067
Census Tract 8030.17; Cook County; Illinois,108724,58722,462,6491,426800,1745,14,3656,6520,3965,52,0,1200,165,725,413,1399,4671,445,88,172,389,279,1408,1145,157,82,17,031,803017,17031803017,0.07117547373286089,0.0038293216630196935,0.6081288343558282,0.007975460122699387,0.18404907975460122,0.21457055214723927,0.5977306786555342,0.10832798116035114
Census Tract 8031; Cook County; Illinois,170089,69308,84,3544,454900,2809,133,1866,3545,2872,11,18,174,0,152,318,351,2283,201,79,74,283,108,893,495,26,55,17,031,803100,17031803100,0.023702031602708805,0.07127545551982852,0.8101551480959097,0.0031029619181946405,0.04908321579689704,0.09901269393511988,0.6434515987735436,0.030223390275952666
Census Tract 8032; Cook County; Illinois,100422,57829,348,4627,388000,1231,53,2112,4961,4258,26,0,187,0,26,464,228,3822,751,99,55,546,276,1105,566,136,122,17,031,803200,17031803200,0.07521071968878323,0.025094696969696968,0.8582946986494658,0.005240878855069542,0.037694013303769404,0.04595847611368676,0.5047095761381476,0.04343275771847199
Census Tract 8033; Cook County; Illinois,96587,64602,516,5524,355900,1524,298,3268,5529,4245,280,23,364,0,263,354,534,4327,469,118,269,483,194,1533,842,157,79,17,031,803300,17031803300,0.09341057204923968,0.09118727050183599,0.7677699403147042,0.0506420690902514,0.06583468981732682,0.09658166033640803,0.6034203836376242,0.042292581465218415
Census Tract 8034; Cook County; Illinois,134260,66091,273,6398,490500,2323,32,2911,6398,4961,468,12,219,0,125,613,515,4109,686,282,164,283,272,1202,871,153,51,17,031,803400,17031803400,0.04266958424507659,0.01099278598419787,0.7753985620506408,0.07314785870584557,0.03422944670209441,0.08049390434510785,0.5541494280846921,0.03528839133609152
Census Tract 8035; Cook County; Illinois,131763,67175,127,5207,443500,2170,100,2840,5238,4644,22,0,225,0,76,271,184,3658,422,10,178,151,128,1557,924,150,118,17,031,803500,17031803500,0.024390243902439025,0.035211267605633804,0.8865979381443299,0.004200076365024819,0.0429553264604811,0.03512791141657121,0.7515035538545654,0.005467468562055822
Census Tract 8036.03; Cook County; Illinois,174383,82678,111,6454,587200,1466,83,3253,6489,4568,34,34,1466,0,73,314,283,4405,356,62,169,467,318,1770,919,177,123,17,031,803603,17031803603,0.017198636504493336,0.02551490931447894,0.7039605486207428,0.0052396363075974724,0.22592078902758514,0.04361226691323779,0.6785471055618615,0.009988649262201998
Census Tract 8036.04; Cook County; Illinois,87422,49224,555,4356,364700,1415,115,2295,4446,3016,135,96,470,0,444,285,671,3254,529,42,204,467,324,1023,405,60,10,17,031,803604,17031803604,0.12741046831955924,0.05010893246187364,0.6783625730994152,0.030364372469635626,0.10571300044984255,0.15092217723796672,0.4603564843269822,0.058389674247080525
Census Tract 8036.05; Cook County; Illinois,111063,51303,290,6237,424900,1346,119,3384,6237,4440,371,0,817,15,378,216,544,4486,665,44,73,632,278,1536,862,54,72,17,031,803605,17031803605,0.04649671316337983,0.03516548463356974,0.7118807118807119,0.05948372615039282,0.13099246432579767,0.08722142055475389,0.5626393223361569,0.0601872492197949
Census Tract 8036.07; Cook County; Illinois,125818,55703,252,4432,363900,2702,98,2581,4434,3752,43,8,290,0,52,289,230,3222,323,89,290,406,312,1134,489,70,21,17,031,803607,17031803607,0.05685920577617329,0.03796977915536614,0.8461885430762291,0.009697789806044204,0.06540369869192603,0.05187189896256202,0.531967721911856,0.027312228429546836
Census Tract 8036.08; Cook County; Illinois,108394,56397,885,7939,466300,1858,292,4633,7939,5622,556,25,433,0,640,663,1184,5574,663,133,184,413,315,2352,693,219,68,17,031,803608,17031803608,0.11147499685098879,0.06302611698683358,0.708149641012722,0.07003400932107318,0.05454087416551203,0.1491371709283285,0.5977753857194116,0.09580193756727662
Census Tract 8036.11; Cook County; Illinois,63639,30102,783,6341,189400,1437,79,3849,6341,2442,122,81,1216,35,1663,782,2970,3847,732,244,266,180,258,896,229,15,26,17,031,803611,17031803611,0.12348210061504494,0.020524811639386853,0.3851127582400252,0.01923986752878095,0.191767859958997,0.46838038164327395,0.3030933194697167,0.2602027553938133
Census Tract 8036.12; Cook County; Illinois,72603,35478,407,3379,300000,1448,25,2149,3379,1265,694,0,301,0,882,237,1318,2037,368,98,168,265,110,438,201,39,0,17,031,803612,17031803612,0.12044983722994969,0.011633317822242903,0.3743711157147085,0.2053862089375555,0.08907960935187925,0.3900562296537437,0.3328424153166421,0.17182130584192434
Census Tract 8036.13; Cook County; Illinois,64055,26792,267,3167,184700,1256,91,1624,3167,634,78,123,106,0,1836,390,2398,1880,478,34,109,221,87,372,98,0,12,17,031,803613,17031803613,0.08430691506157247,0.05603448275862069,0.2001894537417114,0.024628986422481843,0.03347016103568046,0.7571834543732239,0.25638297872340426,0.24946808510638296
Census Tract 8036.14; Cook County; Illinois,63448,28598,462,3965,148700,1336,74,2357,3965,1474,419,8,328,52,1389,295,1971,2519,631,9,144,182,167,564,230,10,0,17,031,803614,17031803614,0.11651954602774275,0.031395842172252865,0.3717528373266078,0.10567465321563682,0.08272383354350568,0.4970996216897856,0.31917427550615324,0.23104406510520048
Census Tract 8036.15; Cook County; Illinois,107941,63511,21,2460,340300,1687,45,1854,2460,1417,92,122,514,0,28,287,353,1972,180,0,151,145,184,769,462,43,0,17,031,803615,17031803615,0.00853658536585366,0.024271844660194174,0.5760162601626017,0.03739837398373984,0.20894308943089432,0.1434959349593496,0.6460446247464503,0.01926977687626774
Census Tract 8036.16; Cook County; Illinois,90347,56432,764,4770,331800,1682,161,3242,4842,3035,745,0,391,0,533,138,677,3543,488,68,44,768,162,795,750,153,57,17,031,803616,17031803616,0.16016771488469603,0.04966070326958667,0.6268071045022718,0.15386204047914084,0.08075175547294507,0.13981825691862868,0.4953429297205758,0.07281964436917865
Census Tract 8037.01; Cook County; Illinois,85433,57915,207,2795,330400,1516,51,1765,2795,2048,5,0,342,0,221,179,278,2315,290,5,119,203,214,917,387,37,17,17,031,803701,17031803701,0.0740608228980322,0.028895184135977338,0.732737030411449,0.0017889087656529517,0.1223613595706619,0.09946332737030411,0.5866090712742981,0.05442764578833692
Census Tract 8037.02; Cook County; Illinois,116569,59875,244,6038,389400,1443,69,3260,6098,4560,303,0,786,0,130,319,497,4536,747,96,176,508,443,1634,719,83,118,17,031,803702,17031803702,0.04041073203047367,0.02116564417177914,0.7477861593965235,0.04968842243358478,0.12889471958019022,0.08150213184650705,0.5630511463844797,0.002645502645502673
Census Tract 8038; Cook County; Illinois,133380,61430,81,4145,344700,2202,25,2624,4145,3116,44,4,144,3,353,481,823,3139,337,85,223,529,147,998,436,87,57,17,031,803800,17031803800,0.0195416164053076,0.009527439024390244,0.7517490952955368,0.010615199034981907,0.03474065138721351,0.1985524728588661,0.5027078687480089,0.07645747053201657
Census Tract 8039.01; Cook County; Illinois,66466,52963,580,3626,222000,1919,84,1909,3626,2649,63,0,465,13,122,314,462,3006,501,150,191,370,163,907,415,41,61,17,031,803901,17031803901,0.15995587424158852,0.044002095337873234,0.7305570876999449,0.017374517374517374,0.12824048538334254,0.1274131274131274,0.4737192282102462,0.06886227544910184
Census Tract 8039.02; Cook County; Illinois,113023,42744,115,3318,311200,2068,172,1972,3409,2590,6,0,37,0,210,566,909,2456,608,101,194,315,320,551,217,35,4,17,031,803902,17031803902,0.034659433393610606,0.0872210953346856,0.7597535934291582,0.0017600469345849222,0.010853622763273688,0.2666471105896157,0.3285830618892508,0.045195439739413645
Census Tract 8040; Cook County; Illinois,87196,39471,452,4705,285800,1961,167,2614,4705,3358,1,0,185,0,298,863,1315,3473,995,110,327,304,341,698,206,55,0,17,031,804000,17031804000,0.09606801275239107,0.06388676358071921,0.7137088204038258,0.00021253985122210415,0.039319872476089264,0.27948990435706694,0.27613014684710624,0.1258278145695364
Census Tract 8041.02; Cook County; Illinois,165680,76791,333,6900,582700,2332,104,3280,7027,5298,58,6,1276,0,66,323,198,4767,220,71,92,437,319,1917,1274,277,50,17,031,804102,17031804102,0.04826086956521739,0.03170731707317073,0.7539490536502064,0.008253877899530382,0.1815853137896684,0.028177031450120963,0.737990350325152,0.023075309418921774
Census Tract 8041.04; Cook County; Illinois,152013,64644,228,4940,379300,3198,66,2739,4940,3355,73,14,1183,0,10,305,110,3571,600,5,107,436,153,1179,625,264,130,17,031,804104,17031804104,0.046153846153846156,0.024096385542168676,0.6791497975708503,0.014777327935222672,0.2394736842105263,0.022267206477732792,0.6155138616633996,0.020162419490338812
Census Tract 8041.05; Cook County; Illinois,153981,74992,35,4570,432700,-666666666,59,2499,4570,3349,117,14,584,0,26,480,199,3386,536,11,288,316,332,998,594,151,119,17,031,804105,17031804105,0.007658643326039387,0.023609443777511004,0.7328227571115974,0.025601750547045953,0.12778993435448577,0.04354485776805252,0.5499113998818665,0.012108682811577065
Census Tract 8041.06; Cook County; Illinois,150132,56845,225,7231,436900,1806,322,4080,7231,4129,4,20,2355,0,327,396,607,4864,691,3,268,324,306,1874,1054,151,100,17,031,804106,17031804106,0.031116028211865578,0.07892156862745098,0.5710136910524132,0.0005531738348776103,0.32568109528419303,0.08394412944267736,0.653577302631579,0.019120065789473673
Census Tract 8041.08; Cook County; Illinois,88773,54858,247,4270,-666666666,1786,322,2636,4270,1805,695,25,1270,0,244,231,339,3064,286,159,126,444,100,948,658,32,0,17,031,804108,17031804108,0.05784543325526932,0.12215477996965099,0.42271662763466045,0.16276346604215455,0.297423887587822,0.07939110070257611,0.5345953002610966,0.10150130548302871
Census Tract 8041.09; Cook County; Illinois,146382,62964,123,3076,523400,1202,48,1492,3203,2347,16,80,219,0,197,344,431,2296,281,7,160,174,43,873,335,174,71,17,031,804109,17031804109,0.03998699609882965,0.032171581769437,0.7327505463627849,0.004995316890415236,0.06837339993755853,0.13456134873556042,0.6328397212543554,0.07752613240418116
Census Tract 8042.02; Cook County; Illinois,183859,72264,343,7416,558900,2019,223,3607,7444,4617,0,0,2495,0,60,272,179,5449,360,0,192,578,370,2125,1179,299,109,17,031,804202,17031804202,0.04625134843581446,0.061824230662600496,0.620231058570661,0.0,0.33516926383664697,0.024046211714132185,0.6812259130115618,0.043494219122774846
Census Tract 8042.03; Cook County; Illinois,246477,99464,44,3598,934000,-666666666,28,1741,3598,1829,38,0,1572,0,0,159,21,2419,137,8,13,153,182,789,593,422,32,17,031,804203,17031804203,0.012229016120066704,0.016082711085583,0.5083379655364091,0.010561423012784881,0.4369093941078377,0.005836575875486381,0.7589913187267466,0.037205456800330716
Census Tract 8042.04; Cook County; Illinois,157750,84707,457,5044,701400,3011,65,2160,5191,4010,132,0,599,0,189,261,249,3351,378,12,109,280,147,1311,687,215,103,17,031,804204,17031804204,0.09060269627279936,0.03009259259259259,0.7724908495472934,0.025428626468888462,0.11539202465806203,0.04796763629358505,0.6911369740376008,0.032527603700387986
Census Tract 8043.05; Cook County; Illinois,79464,33916,1526,8126,241900,1465,166,4543,8126,2859,667,378,757,0,876,2589,4042,5659,1945,228,476,361,698,756,218,49,19,17,031,804305,17031804305,0.18779227172040364,0.036539731454985694,0.3518336204774797,0.08208220526704406,0.09315776519812946,0.49741570268274676,0.18413147199151794,0.1606290864110267
Census Tract 8043.06; Cook County; Illinois,105236,33732,285,5889,260100,2063,38,3233,5889,2388,19,65,266,0,647,2504,3349,3716,1220,137,450,443,299,458,103,11,16,17,031,804306,17031804306,0.048395313295975545,0.011753789050417568,0.4055017829852267,0.003226354219731703,0.045168959076243846,0.5686873832569197,0.15823466092572658,0.15581270182992468
Census Tract 8043.08; Cook County; Illinois,84244,37678,484,4918,272900,1679,42,2463,4918,2524,311,40,741,0,191,1111,1285,3114,795,191,223,160,284,630,465,36,22,17,031,804308,17031804308,0.09841398942659618,0.01705237515225335,0.5132167547783651,0.06323708824725498,0.15067100447336315,0.2612850752338349,0.3702633269107258,0.0989081567116249
Census Tract 8043.09; Cook County; Illinois,91595,34067,185,2896,263100,2069,35,1619,2978,1206,154,6,217,0,345,1050,1598,2009,587,106,47,169,208,431,43,27,0,17,031,804309,17031804309,0.06388121546961326,0.021618282890673256,0.4049697783747482,0.051712558764271326,0.07286769644056414,0.5366017461383479,0.24937779990044798,0.19462419113987062
Census Tract 8043.12; Cook County; Illinois,183000,73490,48,1661,544300,-666666666,43,966,1661,667,0,0,901,0,11,82,90,1200,107,8,29,114,48,421,312,61,47,17,031,804312,17031804312,0.028898254063816978,0.044513457556935816,0.4015653220951234,0.0,0.5424443106562312,0.054184226369656835,0.7008333333333333,0.04416666666666669
Census Tract 8043.13; Cook County; Illinois,130869,49887,723,6503,332800,2336,285,3857,6563,2206,882,167,976,0,312,2020,2078,4682,1441,66,308,470,117,931,632,145,73,17,031,804313,17031804313,0.11117945563586037,0.07389162561576355,0.33612677129361573,0.13438976078013104,0.1487124790492153,0.31662349535273504,0.3803929944468176,0.10657838530542507
Census Tract 8043.14; Cook County; Illinois,101635,51884,64,1322,315200,-666666666,31,809,1322,863,7,33,213,0,16,190,244,1099,273,33,103,96,103,328,97,27,0,17,031,804314,17031804314,0.048411497730711045,0.038318912237330034,0.6527987897125568,0.00529500756429652,0.16111951588502268,0.18456883509833585,0.41128298453139217,0.035486806187443154
Census Tract 8043.15; Cook County; Illinois,101806,38407,162,2683,304000,1973,99,1590,2683,1354,0,28,487,0,288,526,526,1899,464,51,174,210,123,456,188,12,0,17,031,804315,17031804315,0.06038017144986955,0.062264150943396226,0.5046589638464406,0.0,0.1815132314573239,0.1960491986582184,0.3454449710373881,0.11637704054765663
Census Tract 8043.16; Cook County; Illinois,116835,44895,162,4486,350100,2229,33,2351,4486,2148,24,0,1099,0,269,946,1191,3359,941,44,251,354,270,933,342,8,68,17,031,804316,17031804316,0.03611234953187695,0.014036580178647383,0.47882300490414625,0.005349977708426215,0.24498439589835042,0.2654926437806509,0.4022030366180411,0.04406073236082164
Census Tract 8044.03; Cook County; Illinois,87445,41474,551,7149,275100,1549,208,3859,7194,2825,418,235,654,0,82,2980,3257,5128,805,161,240,1020,830,916,425,64,16,17,031,804403,17031804403,0.0770737166037208,0.05389997408655092,0.39268835140394776,0.0581039755351682,0.09090909090909091,0.45273839310536557,0.27710608424336974,0.12695007800312008
Census Tract 8044.04; Cook County; Illinois,86546,30231,394,5334,275600,1767,126,2664,5399,1409,546,60,345,0,1014,2025,3258,3433,838,138,202,337,230,529,136,11,7,17,031,804404,17031804404,0.0738657667791526,0.0472972972972973,0.2609742544915725,0.10112983885904797,0.06390072235599185,0.6034450824226709,0.19895135450043694,0.2927468686280221
Census Tract 8044.05; Cook County; Illinois,76906,25086,475,3589,281300,1169,142,1845,3643,647,348,188,190,0,1246,1024,2643,2186,683,38,79,207,198,265,58,49,20,17,031,804405,17031804405,0.13234884368904987,0.07696476964769648,0.17760087839692562,0.09552566566017019,0.052154817458138894,0.7255009607466374,0.17932296431838976,0.2694419030192132
Census Tract 8044.06; Cook County; Illinois,75305,33979,836,5402,223200,1847,137,3130,5465,1507,312,213,764,33,907,1729,2667,3708,1061,111,252,463,333,509,180,48,0,17,031,804406,17031804406,0.15475749722325063,0.04376996805111821,0.2757548032936871,0.057090576395242454,0.13979871912168343,0.48801463860933214,0.19875943905070118,0.20253505933117588
Census Tract 8045.05; Cook County; Illinois,94669,50187,417,3677,232700,1538,43,2283,3677,2294,114,194,322,0,291,462,899,2571,742,74,121,302,266,528,256,0,0,17,031,804505,17031804505,0.11340766929562143,0.018834866403854577,0.6238781615447375,0.03100353549088931,0.08757138971988034,0.24449279303780255,0.30493971217425125,0.10968494749124857
Census Tract 8045.06; Cook County; Illinois,128170,51496,354,5216,360400,3025,90,2946,5352,2778,143,37,1099,0,567,728,1181,4008,685,113,318,425,346,1100,625,157,30,17,031,804506,17031804506,0.0678680981595092,0.03054989816700611,0.5190582959641256,0.02671898355754858,0.2053437967115097,0.22066517189835574,0.47704590818363274,0.052145708582834294
Census Tract 8045.08; Cook County; Illinois,53929,27309,569,2285,223500,1499,149,1281,2285,634,293,0,205,0,690,463,1337,1542,351,37,29,162,119,267,95,7,51,17,031,804508,17031804508,0.24901531728665208,0.11631537861046058,0.2774617067833698,0.12822757111597374,0.08971553610503283,0.5851203501094092,0.2723735408560311,0.27496757457846954
